School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
609939,Frank L Gillespie Elementary School,ES,60619,No,Standard,Probation,Level 2,No,Weak,27,NDA,NDA,Weak,30,Average,45,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.90%,2.1,96.30%,98.80%,55.1,33.6,24.7,24,50.7,58.7,36.8,33.8,53.2,52.8,8.1,16.2,7.6,5.6,0.2,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,609,48,NDA,49,ROSELAND
609926,Franklin Elementary Fine Arts Center,ES,60610,Yes,Standard,Not on Probation,Level 1,No,Very Strong,87,NDA,NDA,Strong,60,Average,55,NDA,NDA,NDA,NDA,Strong,58,Average,48,95.90%,5.6,95.30%,100.00%,72.7,42.6,74.1,66.9,50,53.1,70.2,71.3,56.4,54.8,33.3,63.6,55.1,50.2,0.8,1.4,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,33,NDA,8,NEAR NORTH SIDE
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,60632,No,Standard,Not on Probation,Level 1,No,Average,46,Weak,38,Weak,30,Average,45,Weak,34,Very Weak,14,Average,49,Average,48,96.60%,87.3,96.00%,100.00%,72.8,61.1,44,32.7,48.2,59.2,56.3,51.1,56.5,59.6,27.4,42.4,24,18.1,0.6,1.7,Green,Green,22.4,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,867,39,NDA,58,BRIGHTON PARK
610144,Frank W Reilly Elementary School,ES,60618,No,Standard,Probation,Level 2,No,Average,48,NDA,NDA,Weak,33,Weak,34,NDA,NDA,NDA,NDA,Average,48,Average,51,97.00%,8.7,96.70%,100.00%,77.8,40.1,39.5,27,63.2,62.7,48.7,33.2,62.7,59.2,11.6,30.3,15.5,9.8,0.2,0.5,Yellow,Yellow,22.5,69,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1195,29,NDA,21,AVONDALE
610165,Franz Peter Schubert Elementary School,ES,60639,No,Track_E,Probation,Level 3,No,NDA,,Weak,31,NDA,,NDA,,Weak,32,Weak,26,Average,47,Average,49,95.80%,2.1,97.00%,100.00%,73.2,35.9,37.4,27.3,49.5,56.4,NDA,NDA,NDA,NDA,NDA,NDA,10.6,10.2,-0.2,-1.1,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,949,29,NDA,19,BELMONT CRAGIN
610503,Frazier Prospective IB Magnet Elementary School,ES,60624,Yes,Track_E,Not on Probation,Level 1,No,Strong,60,Average,55,Very Strong,84,Strong,72,Average,42,Average,55,Strong,66,Strong,65,96.80%,7.2,96.60%,100.00%,81.3,68.8,71.6,48.6,64.9,71.6,76.2,61.9,87.3,82.5,5,30,37.6,25.4,1.6,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,220,36,NDA,29,NORTH LAWNDALE
609854,Frederic Chopin Elementary School,ES,60622,Yes,Standard,Not on Probation,Level 1,No,Very Strong,86,Very Strong,99,Very Strong,99,Very Strong,99,Very Strong,97,Very Strong,99,Average,49,Average,49,96.90%,1.7,96.00%,100.00%,67.5,59.7,59.8,41.5,59.8,72,59.3,56.3,67.4,70.1,60.6,45.5,57.6,47.6,3.1,4.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,269,35,NDA,24,WEST TOWN
609930,Frederick Funston Elementary School,ES,60647,No,Track_E,Probation,Level 3,No,Very Weak,16,NDA,NDA,Very Weak,14,Very Weak,16,NDA,NDA,NDA,NDA,Weak,40,Average,47,94.70%,16.8,95.40%,100.00%,65.1,40.2,18.2,17.4,32.6,48.3,26.1,26.8,46.4,41.8,18.2,31.8,12.2,5.8,-2.1,-1.1,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,619,34,NDA,22,LOGAN SQUARE
610163,Frederick Stock Elementary School,ES,60631,NDA,Standard,NDA,NDA,No,NDA,,Very Strong,99,NDA,,NDA,,Very Strong,84,Very Strong,81,Strong,69,Strong,63,72.40%,0,95.70%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,260,30,NDA,9,EDISON PARK
610010,Friedrich Ludwig Jahn Elementary School,ES,60657,No,Standard,Not on Probation,Level 2,No,Strong,72,NDA,NDA,Strong,60,Average,59,NDA,NDA,NDA,NDA,Average,50,Weak,46,94.70%,19.9,94.70%,100.00%,59.4,36.2,41.4,40.6,47.9,48.9,30.2,45.5,40.6,58.7,13.5,32.4,23.9,15.2,0.3,0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,495,33,NDA,5,NORTH CENTER
610009,Galileo Math & Science Scholastic Academy Elementary School,ES,60607,Yes,Standard,Not on Probation,Level 1,No,Strong,65,Average,52,Average,40,Average,42,Average,56,Weak,33,Average,49,Average,50,95.00%,3.1,97.00%,100.00%,77.3,60.5,54.7,55.4,68.7,68.2,55.6,59.5,66.3,56.6,33.3,41.7,26.5,22.3,-1,-0.8,Red,Red,33.3,78.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,606,38,NDA,28,NEAR WEST SIDE
610072,Garrett A Morgan Elementary School,ES,60620,No,Track_E,Probation,Level 3,No,Weak,28,Weak,38,Average,58,Average,55,Average,46,Weak,36,Average,47,Weak,46,92.00%,10,94.80%,96.80%,71.2,39.6,28.3,26.2,56.3,64.6,19.2,30.9,53.1,55.8,8.3,21.7,7.9,3.2,-0.7,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,237,45,NDA,71,AUBURN GRESHAM
610293,Genevieve Melody Elementary School,ES,60624,No,Track_E,Probation,Level 3,No,Strong,61,NDA,NDA,Strong,65,Strong,77,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,92.10%,26,96.00%,94.50%,56,NDA,11.1,19.2,43.3,37.1,26.9,29.6,55.8,76.9,6.3,12.5,4.2,6.3,-0.3,0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,315,36,NDA,26,WEST GARFIELD PARK
609779,George Armstrong International Studies Elementary School,ES,60645,No,Standard,Not on Probation,Level 1,No,Average,59,Average,57,Average,59,Strong,64,Average,53,Average,45,NDA,NDA,NDA,NDA,96.30%,8.1,96.30%,99.40%,66.5,45.5,47.5,38.8,55.7,65.5,59.7,51.5,72.9,54.4,28.2,43.5,30.4,19.5,0.7,-0.2,Green,Yellow,30.8,60.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1509,32,NDA,2,WEST RIDGE
610062,George B McClellan Elementary School,ES,60609,No,Standard,Probation,Level 2,No,Average,49,NDA,NDA,Weak,33,Average,40,NDA,NDA,NDA,NDA,Average,53,Average,47,93.20%,7.8,96.00%,98.60%,40.5,17.4,35.2,26.8,65.2,55.1,33.9,39.7,57.6,58.3,27.8,22.2,22.7,21.3,0,0.9,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,283,40,NDA,60,BRIDGEPORT
610196,George B Swift Elementary Specialty School,ES,60660,No,Standard,Not on Probation,Level 2,No,Strong,61,Average,53,Strong,62,Strong,60,Strong,61,Average,59,Average,49,Strong,54,96.30%,6,95.80%,98.80%,69.2,50.4,49.4,33.9,55.5,63.3,52.9,36.3,58.2,51.2,23.9,23.9,25.4,16.2,-0.8,1.1,Red,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,709,32,NDA,77,EDGEWATER
609849,George F Cassell Elementary School,ES,60655,Yes,Track_E,Not on Probation,Level 2,No,Strong,76,Strong,67,Average,57,Weak,36,Strong,66,Strong,61,Average,52,Weak,46,94.40%,13.8,95.10%,98.90%,62.6,40,48.5,54.7,57.5,66.3,43.6,61,57.3,63.6,20.5,54.5,24.9,24.5,-0.6,-0.8,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,358,49,NDA,74,MOUNT GREENWOOD
610305,George Leland Elementary School,ES,60644,No,Track_E,Probation,Level 3,No,NDA,,Strong,71,NDA,,NDA,,Strong,68,Strong,77,Strong,60,Average,53,92.60%,3.3,94.90%,100.00%,67.8,59.1,30.8,23.1,46.2,61.5,NDA,NDA,NDA,NDA,NDA,NDA,46.2,20,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,182,36,NDA,25,AUSTIN
610048,George Manierre Elementary School,ES,60610,No,Standard,Probation,Level 3,No,Average,43,NDA,NDA,Average,49,Average,40,NDA,NDA,NDA,NDA,Weak,42,Weak,44,91.00%,44,94.80%,100.00%,44.4,NDA,23.7,13.9,44.5,52.8,26.5,17.1,49.1,41.7,0,11.1,4.6,4.7,-1.1,-1.2,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,396,33,NDA,8,NEAR NORTH SIDE
610139,George M Pullman Elementary School,ES,60628,No,Standard,Not on Probation,Level 2,No,Average,59,NDA,NDA,Strong,66,Strong,75,NDA,NDA,NDA,NDA,Average,50,Average,49,93.50%,14.6,96.20%,100.00%,63.8,49.4,32.2,41.7,69.5,67.2,39.7,32.9,67.2,54.3,4,16,14.8,17.8,0.7,0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,259,48,NDA,50,PULLMAN
609795,George Rogers Clark Elementary School,ES,60644,No,Track_E,Not on Probation,Level 1,No,Weak,39,NDA,NDA,Weak,32,Weak,36,NDA,NDA,NDA,NDA,Average,47,Average,51,93.90%,14.4,96.40%,100.00%,80,74.1,56.8,37.5,60.7,71.1,60.5,46.6,57.5,56.1,30,33.3,22,15.3,1.2,0.7,Green,Yellow,29,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,297,36,NDA,25,AUSTIN
609845,George Washington Carver Primary School,ES,60827,No,Track_E,Probation,Level 3,No,Weak,25,NDA,NDA,Weak,33,Weak,30,NDA,NDA,NDA,NDA,Average,52,Strong,57,90.90%,15.6,94.70%,100.00%,37.4,36.6,23.8,19.7,38.8,45.8,22,17.1,27.9,43.1,4.5,22.7,9.4,8,-0.8,-0.6,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,546,48,NDA,54,RIVERDALE
610219,George Washington Elementary School,ES,60617,Yes,Standard,Not on Probation,Level 1,No,Average,58,Strong,61,Weak,33,Average,43,Very Strong,80,Strong,76,Average,52,Average,51,95.50%,5.6,95.90%,99.00%,69.3,56.4,53.8,59.6,70,76.7,54.2,58.1,69.6,68.3,23,37.5,30.4,24.7,0.4,0.8,Yellow,Green,36.8,25,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,813,47,NDA,52,EAST SIDE
609900,George W Curtis Elementary School,ES,60628,No,Standard,Probation,Level 3,No,Weak,23,NDA,NDA,Average,43,Average,58,NDA,NDA,NDA,NDA,Strong,68,Strong,70,93.80%,18.2,98.10%,97.90%,51.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,9.1,18.8,10.1,3.8,0.9,0.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,504,48,NDA,49,ROSELAND
610202,George W Tilton Elementary School,ES,60624,No,Track_E,Probation,Level 3,No,Very Weak,6,Weak,25,Weak,30,Average,41,Weak,25,Average,44,Average,51,Average,49,91.40%,65.5,95.10%,100.00%,51.1,39.6,22.5,10.8,29,36.8,29.1,12,46.2,21.4,14.3,8.8,10,3.5,-0.7,-2.6,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,321,36,NDA,26,WEST GARFIELD PARK
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,60623,No,Track_E,Probation,Level 3,No,Average,44,Weak,37,Average,48,Average,48,Strong,61,Average,43,Average,47,Average,49,95.90%,3.3,95.60%,100.00%,76.2,35.2,16.9,18.3,51.7,51.2,25.7,28.6,51.5,60,16,22,8,6.6,-0.4,-0.6,Yellow,Yellow,21.6,45.5,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,713,37,NDA,30,SOUTH LAWNDALE
610187,Graeme Stewart Elementary School,ES,60640,No,Standard,Probation,Level 2,No,Average,49,NDA,NDA,Average,46,Average,57,NDA,NDA,NDA,NDA,Average,47,Average,52,95.20%,77,96.10%,100.00%,47.4,44.2,23.6,25.8,66.3,52.9,31.7,46,59.3,55.9,9.1,40.9,11.9,9.7,0.5,1.1,Yellow,Yellow,30.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,280,32,NDA,3,UPTOWN
610285,Granville T Woods Math & Science Academy Elementary School,ES,60636,No,Track_E,Not on Probation,Level 2,No,Weak,35,NDA,NDA,Average,43,Weak,31,NDA,NDA,NDA,NDA,Average,48,Average,49,91.90%,41.5,95.20%,100.00%,NDA,61.7,25.8,11.4,35.1,53.8,24.2,21.6,50.9,46.3,5.4,17.5,11.1,6.5,0,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,402,43,NDA,67,WEST ENGLEWOOD
609857,Grover Cleveland Elementary School,ES,60618,No,Standard,Not on Probation,Level 1,No,Strong,64,Average,43,Average,58,Average,47,Average,51,Average,44,Average,49,Average,48,95.00%,6.1,96.30%,100.00%,72.5,38.7,53.6,37.3,49.7,49.5,47.9,45.7,50.5,58.3,21.2,36.5,23.4,15.8,-0.3,-0.5,Yellow,Yellow,27.6,58.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,688,31,NDA,16,IRVING PARK
610241,Guglielmo Marconi Elementary Community Academy,ES,60624,No,Standard,Probation,Level 3,No,Weak,26,NDA,NDA,Strong,65,Strong,76,NDA,NDA,NDA,NDA,Average,52,Average,52,91.50%,58.8,96.50%,100.00%,64.7,65.3,28.8,23.4,51.7,70,37.7,31.5,64.6,65.7,0,21.1,4,7.3,-1.6,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,245,36,NDA,26,WEST GARFIELD PARK
610182,Hannah G Solomon Elementary School,ES,60659,Yes,Standard,Not on Probation,Level 1,No,Strong,78,Very Strong,96,Strong,67,Strong,62,Strong,75,Strong,62,Average,52,Average,51,95.80%,0.8,95.70%,99.00%,71.2,51.1,74.4,63.6,59.1,70,73.9,72.8,75,67.4,45.5,63.6,52.4,42.8,0.6,-0.2,Yellow,Yellow,45.5,93.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,31,NDA,13,NORTH PARK
610068,Hanson Park Elementary School,ES,60639,No,Standard,Not on Probation,Level 2,No,Weak,35,NDA,NDA,Weak,34,Weak,33,NDA,NDA,NDA,NDA,Average,50,Average,47,95.00%,24.4,94.90%,100.00%,48.5,42.6,31,20.6,45.9,51.5,42,29.2,50.7,41.2,12.4,22.1,14.4,11,-0.8,-0.5,Red,Yellow,14,88.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1499,29,NDA,19,BELMONT CRAGIN
610124,Harold Washington Elementary School,ES,60619,No,Standard,Not on Probation,Level 2,No,Weak,28,NDA,NDA,Average,45,Strong,63,NDA,NDA,NDA,NDA,Average,47,Average,49,96.10%,3.1,96.20%,100.00%,67.6,55.6,27.8,39,53.2,53.6,32.5,37.6,45,46.6,9.5,28.6,16,13.1,-0.2,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,549,48,NDA,47,BURNSIDE
610192,Harriet Beecher Stowe Elementary School,ES,60647,No,Standard,Probation,Level 3,No,Weak,28,NDA,NDA,Weak,26,Weak,31,NDA,NDA,NDA,NDA,Weak,44,Strong,54,93.80%,13.7,94.70%,98.70%,39.9,32.2,11.1,12,36.9,48.6,16.7,18,49.4,48.6,2.1,9.5,3.1,2.5,-0.2,-0.8,Yellow,Red,19.1,11.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,893,34,NDA,23,HUMBOLDT PARK
610158,Harriet E Sayre Elementary Language Academy,ES,60707,No,Standard,Not on Probation,Level 2,No,Strong,68,NDA,NDA,Average,41,Average,50,NDA,NDA,NDA,NDA,Weak,44,Average,49,96.20%,2.6,96.60%,100.00%,69.1,NDA,37.6,42.5,44.8,37.1,41.7,48.1,47.6,42.8,20,38.3,19.6,17.3,-0.5,0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,605,29,NDA,25,AUSTIN
609974,Hawthorne Elementary Scholastic Academy,ES,60657,Yes,Standard,Not on Probation,Level 1,Yes,Very Strong,92,Very Strong,88,Strong,61,Average,56,Very Strong,90,Very Strong,84,Strong,58,Average,52,96.90%,1.2,96.50%,100.00%,85.3,56.9,82.7,83.3,58.6,62.5,89.1,87.4,65.1,62.9,79,80.6,75.1,66,1.8,2.2,Green,Green,98.4,91.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,569,33,NDA,6,LAKE VIEW
609985,Helen M Hefferan Elementary School,ES,60624,No,Track_E,Not on Probation,Level 2,No,Weak,29,Weak,39,Weak,26,Strong,63,Average,58,Average,52,Average,51,Strong,56,93.80%,13.4,95.90%,100.00%,72.4,64.9,36.5,34.1,45.7,37.3,61.4,46.7,61.6,51.1,28,44,25.6,19.2,0.5,0.1,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,259,36,NDA,26,WEST GARFIELD PARK
610122,Helen Peirce International Studies Elementary School,ES,60660,No,Standard,Not on Probation,Level 2,No,Average,58,NDA,NDA,Weak,32,Weak,22,NDA,NDA,NDA,NDA,Average,47,Average,47,96.70%,5.8,95.80%,100.00%,57.2,58.2,56.4,47.2,52.4,63.3,52.8,49.1,49.1,57.3,25.9,35.2,25.5,20.5,-1.9,-1.4,Red,Red,100,5.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,977,32,NDA,77,EDGEWATER
609972,Helge A Haugan Elementary School,ES,60625,No,Standard,Not on Probation,Level 2,No,Average,43,Weak,39,Average,57,Average,49,Weak,33,Weak,30,Weak,46,Average,51,96.20%,23.4,94.60%,100.00%,68.9,37.2,31.5,24.3,53.4,58.5,32.5,29.3,48,32.9,NDA,NDA,15.2,10.2,-0.3,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1299,31,NDA,14,ALBANY PARK
609856,Henry Clay Elementary School,ES,60633,No,Standard,Not on Probation,Level 2,No,Weak,38,Weak,39,Weak,30,Weak,30,Weak,24,Weak,31,NDA,NDA,NDA,NDA,95.20%,6,96.10%,100.00%,52.4,47,34.4,27.1,42,48,39.3,29.6,54.8,37.1,10.2,25.4,17.1,12.3,-0.3,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,633,47,NDA,55,HEGEWISCH
610040,Henry D Lloyd Elementary School,ES,60639,No,Track_E,Probation,Level 3,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Average,48,Average,51,96.20%,0,97.20%,97.00%,NDA,32.9,34.1,18.3,46.5,53.3,NDA,NDA,NDA,NDA,NDA,NDA,23.5,10.5,-0.8,-0.3,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1334,29,NDA,19,BELMONT CRAGIN
610092,Henry H Nash Elementary School,ES,60644,No,Track_E,Probation,Level 3,No,Average,41,NDA,NDA,Strong,68,Strong,76,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,95.10%,27.9,95.80%,100.00%,48.6,46.4,22.4,18.9,60.4,59.1,27.1,19.5,74.6,60.7,5.1,7.5,7.1,6,0.6,-0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,393,36,NDA,25,AUSTIN
610279,Henry O Tanner Elementary School,ES,60619,No,Track_E,Probation,Level 3,No,Weak,33,NDA,NDA,Average,42,Average,55,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.80%,43.1,95.60%,98.00%,61.3,35.3,19.5,13.3,52.6,52.3,22.1,21.1,56.6,57.4,5.3,8.1,6.9,4.6,1.9,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,448,46,NDA,69,GREATER GRAND CROSSING
609861,Henry R Clissold Elementary School,ES,60643,No,Standard,Not on Probation,Level 2,No,Average,45,Strong,61,Weak,39,Strong,61,Weak,38,Average,51,Average,52,Weak,46,95.10%,8.4,96.90%,94.80%,75.5,NDA,58.5,64,68.8,62.8,46.7,63,53.3,58.7,33.8,49.2,27.7,26.7,-0.7,0.5,Red,Yellow,42.2,44.4,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,588,49,NDA,75,MORGAN PARK
609798,Hiram H Belding Elementary School,ES,60641,No,Standard,Not on Probation,Level 2,No,Strong,64,Strong,63,Strong,67,Strong,69,Average,49,Average,51,Average,53,Average,52,95.00%,21.3,96.20%,98.60%,80,78.6,46.2,40.4,50.3,45.7,55.6,54.6,54.5,54.2,36.8,49.1,27.3,21.4,-0.8,-0.5,Red,Yellow,46.4,57.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,672,31,NDA,16,IRVING PARK
609850,Horace Greeley Elementary School,ES,60613,No,Standard,Not on Probation,Level 1,No,Strong,65,NDA,NDA,Average,48,Weak,38,NDA,NDA,NDA,NDA,Average,52,Average,52,95.90%,6,96.00%,100.00%,64.5,35.5,46.7,37.4,48.8,52.8,65.6,47.9,53.1,49.7,43.1,50,26.9,16.3,0.2,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,611,32,NDA,6,LAKE VIEW
610052,Horace Mann Elementary School,ES,60617,No,Track_E,Probation,Level 3,No,Weak,28,Weak,31,Weak,31,Weak,30,Weak,31,Weak,24,Weak,44,Weak,46,92.60%,44.4,94.50%,100.00%,46.9,30.2,12.8,16.5,49.7,46.2,23.3,23.3,57.2,51,6.4,27.7,3.4,3.4,-0.7,0.1,Red,Yellow,19.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,472,47,NDA,46,SOUTH CHICAGO
610058,Horatio May Elementary Community Academy,ES,60644,No,Track_E,Probation,Level 3,No,Average,42,NDA,NDA,Average,47,Average,56,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.90%,40,96.40%,98.20%,63.3,58.8,17.5,17.5,54,51.4,27.1,25,58.6,58.6,4.6,13.8,9.4,5.6,-0.4,-0.8,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,458,36,NDA,25,AUSTIN
610110,Ida B Wells Preparatory Elementary Academy,ES,60653,No,Track_E,Probation,Level 3,No,Average,49,NDA,NDA,Strong,64,Very Strong,93,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,93.20%,9.5,92.80%,100.00%,80.9,NDA,24.7,26.3,41.3,60.5,49.3,42.3,58.8,57.4,8.3,37.5,15.3,10.1,0.3,-0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,215,40,NDA,35,DOUGLAS
610273,Ignance Paderewski Elementary Learning Academy,ES,60623,No,Track_E,Probation,Level 3,No,Weak,31,NDA,NDA,Strong,63,Very Strong,98,NDA,NDA,NDA,NDA,Weak,46,Average,47,92.10%,20.9,95.20%,100.00%,42.3,40.9,19.1,19.1,50,64.3,27.5,17,44.2,58.7,0,0,2,2,0.2,-0.8,Yellow,Yellow,93.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,130,37,NDA,30,SOUTH LAWNDALE
610078,Inter-American Elementary Magnet School,ES,60613,No,Standard,Not on Probation,Level 1,No,Strong,67,NDA,NDA,Average,50,Average,51,NDA,NDA,NDA,NDA,Average,51,Average,47,96.20%,3,96.20%,100.00%,68.2,31.2,46.6,38.7,51.3,49.5,52.3,50,54.8,54.1,34.5,29.6,27.6,21.3,1.1,1.9,Green,Green,32.1,83.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,690,33,NDA,6,LAKE VIEW
609848,Ira F Aldridge Elementary School,ES,60827,No,Track_E,Probation,Level 3,No,Weak,39,NDA,NDA,Weak,36,Weak,39,NDA,NDA,NDA,NDA,Average,49,Weak,46,92.90%,49,96.30%,100.00%,62.7,60.9,20.7,20.2,46.7,40.9,21.2,29.8,37.4,60.2,2.5,20,7.7,7.2,-1.5,-0.8,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,285,48,NDA,54,RIVERDALE
610125,Irma C Ruiz Elementary School,ES,60608,No,Standard,Not on Probation,Level 2,Yes,Average,57,Average,59,Average,57,Strong,62,Average,51,Average,56,Average,50,Average,51,95.50%,15.9,95.00%,95.20%,55.8,40.7,19.4,26.4,44,41.9,38.9,33.6,57.5,48.5,10.7,27.2,10.7,12.8,-0.4,0.4,Red,Yellow,28.8,16.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,916,39,NDA,31,LOWER WEST SIDE
