School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,Track Schedule,CPS Performance Policy Status,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,60623,No,Track_E,Probation,Level 2,No,Weak,27,Weak,39,Average,51,Average,52,Average,45,Weak,31,Average,49,Average,51,92.50%,100.5,96.70%,100.00%,51.6,38,12.5,16.1,35.2,38.7,36.7,28.1,64.3,56.6,3.4,6.9,3.9,8.8,-0.3,1,Yellow,Yellow,13.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,298,37,NDA,29,NORTH LAWNDALE
610063,Cyrus H McCormick Elementary School,ES,60623,No,Track_E,Not on Probation,Level 1,Yes,NDA,,Strong,60,NDA,,NDA,,Strong,61,Average,54,Average,52,Strong,56,95.90%,4.7,95.90%,100.00%,55.3,39.4,42.1,22.6,43.9,54.2,NDA,NDA,NDA,NDA,NDA,NDA,25.2,10.3,-0.2,0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,894,37,NDA,30,SOUTH LAWNDALE
609804,Daniel Boone Elementary School,ES,60645,No,Standard,Not on Probation,Level 1,No,Average,52,Average,50,Average,47,Average,48,Average,45,Average,53,Average,50,Average,49,95.50%,10.5,95.40%,97.60%,65,43,39.7,33.2,55.4,61.8,43.1,35.2,56.3,42.3,22.5,35,22,17.6,1.1,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,752,32,NDA,2,WEST RIDGE
610083,Daniel C Beard Elementary School,ES,60656,NDA,Track_E,Not Applicable,Not Enough Data,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Strong,57,Strong,58,91.90%,0,94.30%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,160,30,NDA,10,NORWOOD PARK
609870,Daniel J Corkery Elementary School,ES,60623,No,Track_E,Not on Probation,Level 2,No,Weak,39,NDA,NDA,Weak,31,Weak,29,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.70%,18.1,97.20%,100.00%,64.1,35.3,35.7,22.6,48.4,61.1,45.8,28.8,47.5,53,21.6,19.6,13.6,8.2,0.1,0.3,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,631,37,NDA,30,SOUTH LAWNDALE
609835,Daniel R Cameron Elementary School,ES,60651,No,Track_E,Probation,Level 3,No,Average,42,NDA,NDA,Average,49,Average,50,NDA,NDA,NDA,NDA,Weak,46,Weak,46,92.60%,153.9,96.20%,98.40%,47.8,21.1,16.4,16.1,31.3,34.7,19.2,15.6,33.5,35,9.2,7.1,10.3,5.9,-1,-1.4,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,828,34,NDA,23,HUMBOLDT PARK
610223,Daniel S Wentworth Elementary School,ES,60621,No,Track_E,Probation,Level 3,No,Weak,30,Weak,32,Weak,34,Weak,36,Weak,31,Weak,32,NDA,NDA,NDA,NDA,91.60%,73.8,95.90%,96.20%,NDA,24.7,17.9,14.2,48.5,51,40.2,18.8,74.4,38.8,10.5,10.5,5.5,1.5,1,-0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,365,45,NDA,68,ENGLEWOOD
610221,Daniel Webster Elementary School,ES,60624,No,Track_E,Not on Probation,Level 1,No,Average,48,Average,56,Very Strong,81,Strong,66,Average,46,Average,44,Weak,45,Strong,55,94.80%,5.7,97.20%,100.00%,81.6,45.9,37,37,56.6,63.3,44.2,26.9,57.8,58.8,2.6,37.5,25.9,21,2,0.7,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,370,36,NDA,26,WEST GARFIELD PARK
609885,Dewey Elementary Academy of Fine Arts,ES,60609,No,Standard,Probation,Level 3,No,Average,41,NDA,NDA,Average,42,Weak,35,NDA,NDA,NDA,NDA,Average,52,Strong,58,90.70%,26.3,95.50%,100.00%,64.7,56.1,12.2,11.8,30.9,44.2,10.4,4.3,40.3,23.1,3.6,0,3.3,0.5,0.4,-1.2,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,357,45,NDA,61,NEW CITY
609859,DeWitt Clinton Elementary School,ES,60659,No,Standard,Not on Probation,Level 1,No,Average,47,Average,41,Average,47,Average,52,Average,41,Weak,36,NDA,NDA,NDA,NDA,95.30%,14.8,95.40%,100.00%,68.8,44.9,45.8,40.1,55.6,63.7,64.7,39.7,70.6,54.2,24.3,25.2,33.5,21.8,0.6,-0.5,Green,Yellow,23.6,46.7,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1139,32,NDA,2,WEST RIDGE
