School ID,Name of School,"Elementary, Middle, or High School",ZIP Code,Adequate Yearly Progress Made? ,StandardTrack,OnTrue,CPS Performance Policy Level,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,3 Student Atte-1nce,Rate of Misconducts (per 100 students) ,3 Teacher Atte-1nce,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade 3 ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name
609733,Roger C Sullivan High School,HS,60626,FALSE,TRUE,TRUE,Level 3,FALSE,2,30,3,44,2,34,2,34,3,42,2,33,2,44,2,45,81.60%,14.7,95.80%,94.40%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.6,13.2,13.8,13.5,0.9,15.4,1.6,14.8,39.3,52.1,826,32,68.6,1,ROGERS PARK
609745,Southside Occupational Academy High School,HS,60636,-1,FALSE,Falset Applicable,Falset EFalseugh Data,FALSE,-1,,3,52,-1,,-1,,3,47,4,60,4,63,4,60,85.50%,13.1,95.20%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,71.7,-1,201,43,-1,67,WEST ENGLEWOOD
610357,Spry Community Links High School,HS,60623,FALSE,TRUE,FALSE,Level 2,FALSE,4,70,-1,-1,5,92,5,87,-1,-1,-1,-1,4,56,3,51,95.60%,9.7,95.70%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,14.3,14.6,15.5,15.9,1.6,16.9,1.4,35,73.7,65.2,205,39,92.8,30,SOUTH LAW-1LE
609724,Stephen T Mather High School,HS,60659,FALSE,TRUE,FALSE,Level 2,FALSE,3,58,3,44,3,48,3,47,3,50,3,56,-1,-1,-1,-1,87.60%,7.6,96.50%,97.90%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,14.5,14.4,15,15.4,0.9,15.9,0.9,24.6,56.2,57.4,1657,32,59,2,WEST RIDGE
610506,TEAM Englewood Community Academy High School,HS,60621,FALSE,FALSE,TRUE,Level 2,FALSE,3,45,3,48,3,55,3,53,4,74,4,68,4,58,3,49,87.30%,8.2,96.50%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12,12.4,14.3,13.3,1.3,15.3,1,7.9,-1,-1,440,45,77.4,68,ENGLEWOOD
609728,Theodore Roosevelt High School,HS,60625,FALSE,TRUE,TRUE,Level 3,FALSE,3,42,-1,-1,3,42,2,37,-1,-1,-1,-1,-1,-1,-1,-1,82.30%,9.7,96.10%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.9,13.4,14.3,14,1.1,15.7,1.4,13.7,59.4,42.9,1490,31,61.2,14,ALBANY PARK
609715,Thomas Kelly High School,HS,60632,FALSE,TRUE,FALSE,Level 2,FALSE,2,36,3,53,2,36,2,35,4,61,3,57,-1,-1,-1,-1,89.30%,5.8,95.30%,99.70%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,13.4,13.4,15.1,14.6,1.2,17.1,2,22.1,67.4,46.4,2883,39,65.6,58,BRIGHTON PARK
610394,Uplift Community High School,HS,60640,FALSE,TRUE,FALSE,Level 2,FALSE,3,50,3,50,4,61,4,62,3,48,3,53,-1,-1,-1,-1,88.70%,8.1,95.90%,98.30%,-1,-1,-1,-1,-1,-1,51.2,34.9,70,29.3,14.8,14.8,23.3,2.3,0.8,-0.2,Yellow,Yellow,-1,-1,13.6,13.9,14.9,14.7,1.1,16.9,2,19.6,62.4,65,473,32,91.4,3,UPTOWN
610518,VOISE Academy High School,HS,60644,FALSE,TRUE,TRUE,Level 2,FALSE,3,42,-1,-1,3,52,3,52,-1,-1,-1,-1,-1,-1,-1,-1,84.50%,25,96.50%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.3,12.5,13.6,13.6,1.3,14.4,0.8,-1,-1,-1,410,36,82,25,AUSTIN
609680,Walter Payton College Preparatory High School,HS,60610,TRUE,TRUE,FALSE,Level 1,FALSE,5,98,-1,-1,5,80,4,77,-1,-1,-1,-1,-1,-1,-1,-1,93.40%,0.7,96.10%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,21.2,21.8,23.1,23.2,2,27,3.9,96.4,96.9,82.4,881,33,90.7,8,NEAR FalseRTH SIDE
609740,Wells Community Academy High School,HS,60622,FALSE,TRUE,TRUE,Level 2,FALSE,3,51,3,49,3,41,2,38,4,65,3,49,-1,-1,-1,-1,74.10%,16.9,96.20%,96.70%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.8,12.4,14.2,13.6,0.8,14.9,0.7,7.2,59.3,43.8,633,35,61.3,24,WEST TOWN
609727,Wendell Phillips Academy High School,HS,60653,FALSE,FALSE,TRUE,Level 3,FALSE,-1,,4,71,-1,,-1,,5,80,4,79,-1,-1,-1,-1,63.00%,22,96.10%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,11.5,12.8,13.4,12.9,1.4,15,1.6,2.5,40.3,42.6,590,40,32.1,35,DOUGLAS
609755,Whitney M Young Magnet High School,HS,60607,TRUE,TRUE,FALSE,Level 1,FALSE,5,95,5,80,4,69,4,67,3,52,3,46,3,53,3,50,94.60%,1.2,94.90%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,99,99.5,77,-1.2,-0.8,Red,Yellow,56.3,89.2,20.8,21,22.6,22.8,2,26.6,4,89,93.9,88.3,2166,38,96.7,28,NEAR WEST SIDE
609734,William Howard Taft High School,HS,60631,FALSE,TRUE,FALSE,Level 2,FALSE,4,61,-1,-1,2,37,2,32,-1,-1,-1,-1,-1,-1,-1,-1,89.10%,9.8,96.10%,99.70%,-1,-1,-1,-1,-1,-1,91.8,93.6,41.3,59.8,71.9,88.4,80.2,50.6,-3.1,-1.8,Red,Red,74.4,60,14.8,15.7,15.9,16.4,1.6,17.9,2,32.3,67.4,62.2,2922,30,77.3,10,FalseRWOOD PARK
609698,William J Bogan High School,HS,60652,FALSE,TRUE,TRUE,Level 3,FALSE,2,20,-1,-1,1,18,2,29,-1,-1,-1,-1,2,41,2,38,75.20%,5.8,94.30%,99.60%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,13.4,13.3,14.3,14.3,0.9,15.2,0.9,13.1,52.5,50,1656,44,67.1,70,ASHBURN
609678,William Jones College Preparatory High School,HS,60605,TRUE,TRUE,FALSE,Level 1,FALSE,5,92,-1,-1,4,64,4,67,-1,-1,-1,-1,-1,-1,-1,-1,93.80%,4.5,95.30%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,19.6,20.3,21.3,21.1,1.5,24.8,3.5,83.3,90.1,86.9,871,38,92.8,32,LOOP
609711,William Rainey Harper High School,HS,60636,FALSE,FALSE,TRUE,Level 2,FALSE,2,22,2,32,2,39,3,42,2,31,2,31,3,49,3,53,73.00%,63.6,94.70%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.2,11.9,13.1,13.4,1.2,14.4,1.3,5.9,37,40.3,621,43,64.2,67,WEST ENGLEWOOD
610392,World Language Academy High School,HS,60623,FALSE,FALSE,FALSE,Level 2,FALSE,3,51,2,33,3,49,3,47,3,49,3,49,3,50,2,46,91.60%,4,96.00%,100.00%,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,12.9,13.4,14.6,14.1,1.2,16.2,1.6,14.6,69.4,48.1,382,37,76,30,SOUTH LAW-1LE
